balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.7625793079944043,0.8017391304347826,0.8513388734995383,0.825794894760412,0.8398490390572471,0.8681442739283909,LR,train,overall,all,1782
1.0,1.0,1.0,1.0,,,LR,train,source_type,lab,183
0.7474654268001908,0.7642192347466391,0.8211111111111111,0.7916443492233529,0.8189302177714194,0.8300729244724047,LR,train,source_type,synthetic,1599
0.651462215320911,0.7363636363636363,0.7232142857142857,0.7297297297297297,0.6814182194616977,0.7425548631584147,LR,train,train_horizon,8.0,362
0.7843167701863354,0.8156862745098039,0.9043478260869565,0.8577319587628867,0.8301242236024844,0.8590543932307415,LR,train,train_horizon,10.0,370
0.7911777256240666,0.8185483870967742,0.9311926605504587,0.871244635193133,0.8927530047649528,0.9156962838459065,LR,train,train_horizon,12.0,347
0.8103920035738218,0.8458498023715415,0.8842975206611571,0.8646464646464647,0.9070527138708957,0.9366002993438903,LR,train,train_horizon,14.5,390
0.7639916173570019,0.7758620689655172,0.7988165680473372,0.7871720116618076,0.8680966469428009,0.8674620641326203,LR,train,train_horizon,16.0,313
0.7639916173570019,0.7758620689655172,0.7988165680473372,0.7871720116618076,0.8680966469428009,0.8674620641326203,LR,train,is_censored,0,313
0.7602548938435153,0.8063524590163934,0.8610503282275711,0.8328042328042328,0.8323042955428075,0.8694078625166706,LR,train,is_censored,1,1469
0.7625793079944043,0.8017391304347826,0.8513388734995383,0.825794894760412,0.8398490390572471,0.8681442739283909,LR,train,too_sparse,0,1782
0.7625793079944043,0.8017391304347826,0.8513388734995383,0.825794894760412,0.8398490390572471,0.8681442739283909,LR,train,low_resolution,0,1782
0.7461849507735583,0.7750611246943765,0.8805555555555555,0.82444733420026,0.8209095171120487,0.8576120765352229,LR,val,overall,all,597
1.0,1.0,1.0,1.0,,,LR,val,source_type,lab,33
0.7401579375217744,0.7553191489361702,0.8685015290519877,0.8079658605974396,0.809262054994258,0.8357710941973677,LR,val,source_type,synthetic,564
0.52245670995671,0.6304347826086957,0.7532467532467533,0.6863905325443787,0.6068722943722944,0.7129597216982306,LR,val,train_horizon,8.0,125
0.7819499341238472,0.8,0.927536231884058,0.8590604026845639,0.8903162055335968,0.9105079692016398,LR,val,train_horizon,10.0,113
0.8218520609824957,0.8390804597701149,0.948051948051948,0.8902439024390243,0.8876341050254094,0.92727365207472,LR,val,train_horizon,12.0,123
0.7917798913043479,0.782051282051282,0.953125,0.8591549295774649,0.8525815217391304,0.8824347748253449,LR,val,train_horizon,14.5,110
