FileName,Model Name,Test Id,Is_Valid,T0.0 (h),T0.25 (h),T0.5 (h),T0.75 (h),T1 (h),T1.25 (h),T1.5 (h),T1.75 (h),T2 (h),T2.25 (h),T2.5 (h),T2.75 (h),T3 (h),T3.25 (h),T3.5 (h),T3.75 (h),T4 (h),T4.25 (h),T4.5 (h),T4.75 (h),T5 (h),T5.25 (h),T5.5 (h),T5.75 (h),T6 (h),T6.25 (h),T6.5 (h),T6.75 (h),T7 (h),T7.25 (h),T7.5 (h),T7.75 (h),T8 (h),T8.25 (h),T8.5 (h),T8.75 (h),T9 (h),T9.25 (h),T9.5 (h),T9.75 (h),T10 (h),T10.25 (h),T10.5 (h),T10.75 (h),T11 (h),T11.25 (h),T11.5 (h),T11.75 (h),T12 (h),T12.25 (h),T12.5 (h),T12.75 (h),T13 (h),T13.25 (h),T13.5 (h),T13.75 (h),T14 (h),T14.25 (h),T14.5 (h),T14.75 (h)
growth.xlsx,LAB,E2-1 b KCl 25 mM (B10),TRUE,0.3355,0.3426,0.3123,0.3335,0.3603,0.3791,0.4079,0.4314,0.4612,0.4854,0.5166,0.5503,0.583,0.6169,0.6496,0.6836,0.7152,0.7485,0.7803,0.8146,0.8483,0.8801,0.9148,0.9492,0.9818,1.0126,1.0468,1.0766,1.1069,1.136,1.163,1.1886,1.216,1.2309,1.2514,1.2663,1.2807,1.2905,1.2998,1.3111,1.3108,1.3145,1.3215,1.3209,1.3253,1.3267,1.3277,1.3281,1.3293,1.3242,1.3287,1.324,1.3256,1.3215,1.3189,1.3178,1.3163,1.3157,1.3255,1.3264
growth.xlsx,LAB,E2-3 a KCl 25 mM (B11),TRUE,0.3641,0.356,0.3252,0.3345,0.3622,0.3793,0.4086,0.429,0.46,0.4859,0.5179,0.5476,0.5816,0.6114,0.6446,0.6757,0.7069,0.7394,0.7699,0.7995,0.8317,0.8622,0.8943,0.9273,0.9614,0.9928,1.025,1.0595,1.0939,1.1242,1.1517,1.1838,1.2051,1.2257,1.2485,1.2575,1.2723,1.2926,1.3041,1.307,1.3167,1.3204,1.3236,1.3249,1.3269,1.327,1.3275,1.3273,1.3272,1.3267,1.3267,1.3266,1.3256,1.3259,1.3253,1.3242,1.3242,1.3235,1.323,1.3227
growth.xlsx,LAB,E2-3 a KCl 25 mM (B12),TRUE,0.3548,0.3578,0.3419,0.3595,0.378,0.4033,0.4273,0.4507,0.4812,0.5093,0.5399,0.5728,0.6039,0.6357,0.6675,0.7003,0.7307,0.7625,0.793,0.8252,0.8579,0.8895,0.9247,0.9605,1,1.0378,1.076,1.112,1.142,1.1771,1.2073,1.2416,1.2734,1.2935,1.3094,1.3265,1.342,1.3531,1.3661,1.3713,1.3752,1.3774,1.3785,1.3797,1.3808,1.3803,1.3782,1.3714,1.378,1.3802,1.3798,1.3716,1.3784,1.3776,1.3686,1.3775,1.3781,1.3777,1.3774,1.377
growth.xlsx,LAB,E2-3 b KCl 25 mM (C01),TRUE,0.3524,0.3426,0.3392,0.3556,0.3721,0.3998,0.4197,0.4416,0.468,0.4934,0.528,0.558,0.5902,0.6205,0.6499,0.6818,0.7133,0.7437,0.7738,0.8037,0.8335,0.8627,0.89,0.918,0.9444,0.9715,0.9995,1.0265,1.0536,1.0791,1.1045,1.1284,1.1511,1.1708,1.1881,1.2048,1.2199,1.2316,1.2416,1.2507,1.2565,1.2605,1.2637,1.2661,1.2673,1.2677,1.2687,1.2691,1.269,1.2691,1.2686,1.268,1.2678,1.2677,1.2671,1.2666,1.2665,1.2663,1.2658,1.2655
growth.xlsx,LAB,E2-3 b KCl 25 mM (C02),TRUE,0.3557,0.3258,0.3178,0.3406,0.3662,0.3804,0.4039,0.4362,0.4641,0.4898,0.518,0.5473,0.5806,0.6123,0.642,0.676,0.7062,0.7368,0.7672,0.7952,0.824,0.8525,0.8804,0.9088,0.9356,0.9634,0.9944,1.0218,1.0489,1.0772,1.1031,1.1259,1.149,1.1602,1.1789,1.1951,1.2142,1.2226,1.2322,1.2404,1.2428,1.2538,1.2606,1.2528,1.2544,1.2578,1.2568,1.2567,1.2645,1.2578,1.2645,1.2645,1.2639,1.2659,1.2568,1.2533,1.2642,1.264,1.263,1.2627
growth.xlsx,LAB,E3-1 a KCl 25 mM (C03),TRUE,0.3474,0.3236,0.3118,0.3336,0.3575,0.3845,0.4071,0.4352,0.4698,0.4969,0.5266,0.5667,0.5974,0.6274,0.6622,0.6954,0.7297,0.7627,0.7967,0.8292,0.8656,0.902,0.9412,0.9846,1.0234,1.0577,1.0881,1.117,1.1447,1.1718,1.1972,1.2211,1.2407,1.2551,1.2703,1.2815,1.2904,1.2931,1.3042,1.3072,1.3044,1.313,1.3055,1.309,1.3124,1.3133,1.3088,1.3107,1.3114,1.3038,1.3115,1.3065,1.3045,1.307,1.3132,1.3057,1.3148,1.3007,1.3008,1.3005
growth.xlsx,LAB,E3-1 a KCl 25 mM (C04),TRUE,0.3677,0.3466,0.3172,0.3439,0.3603,0.3949,0.422,0.4526,0.474,0.5106,0.54,0.5729,0.6044,0.6398,0.6739,0.7065,0.7417,0.7738,0.8076,0.8384,0.8719,0.9053,0.9396,0.971,1.0015,1.0314,1.0635,1.0934,1.1183,1.1492,1.1709,1.1915,1.211,1.2243,1.237,1.2498,1.26,1.2668,1.2738,1.278,1.2818,1.283,1.2839,1.2845,1.2819,1.2836,1.2785,1.2833,1.2731,1.279,1.282,1.2736,1.2751,1.281,1.2719,1.2734,1.2795,1.275,1.2785,1.2784
growth.xlsx,LAB,E3-1 b KCl 25 mM (C05),TRUE,0.3794,0.3712,0.3323,0.3544,0.3746,0.3947,0.425,0.4512,0.4889,0.5187,0.5496,0.5868,0.621,0.6557,0.6904,0.7273,0.7638,0.7984,0.8291,0.862,0.8943,0.9249,0.956,0.9857,1.0179,1.0501,1.0767,1.1049,1.1321,1.1566,1.1795,1.2019,1.2184,1.2349,1.2512,1.2636,1.2716,1.277,1.2817,1.2857,1.288,1.2905,1.2914,1.292,1.293,1.2928,1.2922,1.2915,1.2916,1.2904,1.2905,1.2902,1.2901,1.2902,1.2894,1.289,1.2892,1.2884,1.2881,1.2883
growth.xlsx,LAB,E3-1 b KCl 25 mM (C06),TRUE,0.3539,0.3636,0.3315,0.3337,0.3492,0.3799,0.3972,0.4279,0.4588,0.4868,0.5171,0.5494,0.5802,0.613,0.6484,0.6826,0.7129,0.7452,0.7746,0.805,0.8338,0.8628,0.8914,0.922,0.95,0.9776,1.0038,1.0287,1.0568,1.0808,1.105,1.1301,1.1445,1.1629,1.1768,1.1964,1.2181,1.212,1.2327,1.2384,1.2409,1.2375,1.2333,1.25,1.2422,1.2536,1.2536,1.2535,1.2445,1.241,1.254,1.2393,1.2534,1.2538,1.2517,1.2511,1.2511,1.2519,1.2382,1.2432
growth.xlsx,LAB,E3-2 a KCl 25 mM (C07),TRUE,0.3706,0.3799,0.326,0.3454,0.3753,0.3981,0.4305,0.4574,0.4874,0.5189,0.5528,0.5822,0.6133,0.6461,0.6812,0.7124,0.7462,0.7778,0.8107,0.8409,0.8716,0.9024,0.9357,0.9649,0.9951,1.023,1.0502,1.0775,1.1044,1.1324,1.1594,1.1831,1.2077,1.2285,1.2478,1.2729,1.2823,1.2898,1.2965,1.2867,1.2901,1.292,1.3107,1.3115,1.3123,1.3119,1.3123,1.3132,1.313,1.3134,1.3131,1.3131,1.3131,1.3127,1.3122,1.3121,1.3117,1.2986,1.3109,1.3107
