TestId,AddId,concentration,reliability,used.model,log.x,log.y,nboot.gc,mu.model,lambda.model,A.model,integral.model,stdmu.model,stdlambda.model,stdA.model,ci90.mu.model.lo,ci90.mu.model.up,ci90.lambda.model.lo,ci90.lambda.model.up,ci90.A.model.lo,ci90.A.model.up,ci95.mu.model.lo,ci95.mu.model.up,ci95.lambda.model.lo,ci95.lambda.model.up,ci95.A.model.lo,ci95.A.model.up,mu.spline,lambda.spline,A.spline,integral.spline,mu.bt,lambda.bt,A.bt,integral.bt,stdmu.bt,stdlambda.bt,stdA.bt,stdintegral.bt,ci90.mu.bt.lo,ci90.mu.bt.up,ci90.lambda.bt.lo,ci90.lambda.bt.up,ci90.A.bt.lo,ci90.A.bt.up,ci90.integral.bt.lo,ci90.integral.bt.up,ci95.mu.bt.lo,ci95.mu.bt.up,ci95.lambda.bt.lo,ci95.lambda.bt.up,ci95.A.bt.lo,ci95.A.bt.up,ci95.integral.bt.lo,ci95.integral.bt.up
NA,NA,0.01,TRUE,richards,FALSE,FALSE,0,0.043498997,6.440224971,0.231012979,1.948295408,0.001719512,0.184927679,0.000672341,0.0406704,0.046327594,6.136018939,6.744431004,0.229906978,0.232118981,0.040128753,0.046869241,6.07776672,6.802683223,0.22969519,0.232330768,0.041055706,6.132161752,0.236173634,1.950337729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.03,TRUE,richards,FALSE,FALSE,0,0.038460916,6.379188193,0.227005914,1.861344862,0.001136658,0.150195814,0.00066621,0.036591113,0.040330718,6.132116079,6.626260308,0.225909998,0.228101829,0.036233066,0.040688765,6.084804398,6.673571989,0.225700141,0.228311686,0.03566246,5.968620552,0.231481052,1.862224745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,TRUE,richards,FALSE,FALSE,0,0.033001939,6.691973068,0.230644942,1.723967156,0.000593087,0.106299488,0.000659799,0.032026311,0.033977566,6.517110409,6.866835726,0.229559573,0.23173031,0.031839489,0.034164388,6.483626071,6.900320065,0.229351736,0.231938147,0.03223166,6.529215547,0.231031679,1.723641005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,TRUE,richards,FALSE,FALSE,0,0.03034846,8.564392799,0.221484015,1.388861474,0.003019033,0.680816677,0.005050662,0.025382151,0.035314769,7.444449365,9.684336234,0.213175676,0.229792354,0.024431156,0.036265765,7.229992112,9.898793487,0.211584718,0.231383312,0.029338788,8.282972496,0.221882948,1.387674602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,30,TRUE,gompertz,FALSE,FALSE,0,0.003080715,-6.794162724,0.077915574,0.696488022,0.000188018,0.665789584,0.005326427,0.002771425,0.003390004,-7.88938659,-5.698938858,0.069153602,0.086677545,0.0027122,0.00344923,-8.099110309,-5.489215139,0.067475778,0.08835537,0.006861963,-1.7688889,0.064494937,0.696344487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,100,TRUE,richards,FALSE,FALSE,0,0.00622425,-1.837286187,0.036887886,0.540523078,0.0004191,0.327575702,0.000177827,0.005534831,0.006913669,-2.376148217,-1.298424158,0.03659536,0.037180411,0.005402814,0.007045685,-2.479334563,-1.195237812,0.036539345,0.037236427,0.006771424,-1.890566984,0.038893069,0.540754427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,300,TRUE,richards,FALSE,FALSE,0,0.004522337,-3.096703616,0.032195911,0.477356963,0.000259174,0.299437114,0.000155387,0.004095997,0.004948678,-3.589277668,-2.604129564,0.031940299,0.032451523,0.004014357,0.005030318,-3.683600359,-2.509806874,0.031891353,0.03250047,0.004358088,-3.401957619,0.033174041,0.477568406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
